radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,647,10,7200,19863,0,45.1791,-12.736,500,110,1,1487737592,1711740054,0
GSM,647,10,7200,19811,0,45.2315,-12.7535,1214,104,1,1475555410,1717525517,0
GSM,647,10,7200,9814,0,45.1776,-12.7235,8896,102,1,1475868864,1717481525,0
GSM,647,10,7200,19807,0,45.2792,-12.7998,6249,21,1,1470288400,1733901070,0
GSM,647,10,7200,29835,0,45.2709,-12.7855,5354,105,1,1470371933,1707143094,0
GSM,647,10,7200,29859,0,45.2112,-12.8003,6765,50,1,1471346914,1732302744,0
GSM,647,10,7200,9863,0,45.1667,-12.7184,7440,106,1,1487737592,1711091587,0
GSM,647,10,7200,19856,0,45.2018,-12.8063,4592,56,1,1491556715,1687156961,0
GSM,647,10,7200,29828,0,45.2209,-12.7695,1116,124,1,1482735085,1717525054,0
GSM,647,10,7200,19846,0,45.2591,-12.7775,5484,23,1,1470140524,1734315065,0
GSM,647,10,7200,9846,0,45.2598,-12.7667,3239,21,1,1470314635,1734290010,0
GSM,647,10,7200,29807,0,45.2788,-12.7898,2405,112,1,1470376787,1724393475,0
GSM,647,10,7200,19835,0,45.2814,-12.7845,871,110,1,1470377555,1701458467,0
GSM,647,10,7200,29836,0,45.2604,-12.7905,1873,50,1,1471001241,1732302744,0
GSM,647,10,7200,9849,0,45.2636,-12.8399,6721,28,1,1471499645,1734210721,0
GSM,647,10,7200,19849,0,45.2538,-12.7804,4352,22,1,1471586490,1733901070,0
GSM,647,10,7200,29841,0,45.2624,-12.7822,5131,113,1,1471586875,1722449837,0
GSM,647,10,7200,9836,0,45.2783,-12.7944,626,118,1,1471589424,1701458467,0
GSM,647,10,7200,19841,0,45.2705,-12.789,4878,135,1,1471596185,1697998688,0
GSM,647,10,7200,9859,0,45.2826,-12.7985,1997,105,1,1471603956,1689323070,0
GSM,647,10,7200,19859,0,45.293,-12.8383,4031,44,1,1471603956,1733641865,0
GSM,647,10,7200,29814,0,45.1362,-12.7159,13305,107,1,1471930848,1709666466,0
GSM,647,10,7200,19814,0,45.1691,-12.7284,5237,124,1,1471930848,1711653732,0
GSM,647,10,7200,9840,0,45.2274,-12.7656,709,26,1,1475872768,1728584127,0
GSM,647,10,7200,9815,0,45.2032,-12.8113,7710,114,1,1476250273,1689507855,0
GSM,647,10,7200,9811,0,45.2316,-12.7572,500,118,1,1475218750,1711739989,0
GSM,647,10,7200,9862,0,45.2453,-12.7263,8119,50,1,1475218878,1732475759,0
GSM,647,10,7200,19840,0,45.228,-12.771,885,26,1,1475840929,1728497709,0
GSM,647,10,7200,29840,0,45.2238,-12.7715,859,50,1,1475840929,1728411296,0
GSM,647,10,7200,9819,0,45.2284,-12.7484,8867,140,1,1475872895,1709320803,0
GSM,647,10,7200,19819,0,45.2209,-12.745,1251,107,1,1475872895,1711135921,0
GSM,647,10,7200,19815,0,45.2052,-12.8079,1087,117,1,1476360369,1689058165,0
GSM,647,10,7200,9857,0,45.2118,-12.8092,3998,21,1,1476770233,1729537985,0
GSM,647,10,7200,19857,0,45.1986,-12.8286,8749,50,1,1476856486,1732302744,0
GSM,647,10,7200,9808,0,45.285,-12.7259,3031,50,1,1477977954,1727503868,0
GSM,647,10,7200,19808,0,45.1409,-12.6573,6461,35,1,1478071525,1733339638,0
GSM,647,10,7200,29852,0,45.2001,-12.7332,3638,108,1,1478608387,1692988609,0
GSM,647,10,7200,19852,0,45.2052,-12.7411,754,113,1,1478608646,1694361453,0
GSM,647,10,7200,9852,0,45.207,-12.7364,1638,103,1,1478608646,1694402451,0
GSM,647,10,7200,19824,0,45.2381,-12.8063,7827,23,1,1479105606,1734210722,0
GSM,647,10,7200,9824,0,45.2222,-12.7833,2015,131,1,1479122175,1707139438,0
GSM,647,10,7200,29824,0,45.214,-12.7988,6762,103,1,1479189544,1703704628,0
GSM,647,10,7200,9842,0,45.2242,-12.79,1969,110,1,1480052154,1726686962,0
GSM,647,10,7200,19842,0,45.2174,-12.7939,999,102,1,1480066297,1705389206,0
GSM,647,10,7200,29842,0,45.2245,-12.7897,5301,102,1,1480398192,1703877481,0
GSM,647,10,7200,19802,0,45.2432,-12.784,4838,25,1,1481273330,1732302743,0
GSM,647,10,7200,29802,0,45.2239,-12.7947,4915,103,1,1481274241,1726686967,0
GSM,647,10,7200,9802,0,45.2494,-12.7553,5266,50,1,1481459465,1728411297,0
GSM,647,10,7200,9821,0,45.2402,-12.768,6916,141,1,1482732760,1725300928,0
GSM,647,10,7200,19828,0,45.2267,-12.767,1642,25,1,1482736800,1728627068,0
GSM,647,10,7200,9828,0,45.2265,-12.7623,559,49,1,1482737167,1728627068,0
GSM,647,10,7200,29821,0,45.2253,-12.7811,2964,125,1,1482747696,1705432783,0
GSM,647,10,7200,19821,0,45.2361,-12.7956,8533,27,1,1482819562,1731741080,0
GSM,647,10,7200,19816,0,45.2216,-12.7897,7162,111,1,1482910653,1705389207,0
GSM,647,10,7200,9816,0,45.2337,-12.7822,613,50,1,1482916251,1729361523,0
GSM,647,10,7200,29816,0,45.2296,-12.7831,553,108,1,1482916251,1698694406,0
GSM,647,10,7200,9812,0,45.2342,-12.7794,1115,23,1,1484546507,1734210730,0
GSM,647,10,7200,9855,0,45.2332,-12.7783,500,25,1,1484546507,1734376367,0
GSM,647,10,7200,19855,0,45.2344,-12.7792,1000,20,1,1484546632,1734210733,0
GSM,647,10,7200,19812,0,45.2321,-12.7769,500,135,1,1484627410,1708370339,0
GSM,647,10,7200,29855,0,45.2385,-12.7802,2470,22,1,1484629422,1734376350,0
GSM,647,10,7200,29837,0,45.2218,-12.785,1898,120,1,1484716271,1704006671,0
GSM,647,10,7200,19837,0,45.2206,-12.7922,2441,105,1,1484732136,1691933317,0
GSM,647,10,7200,9837,0,45.2351,-12.7848,2774,17,1,1484733651,1734210721,0
GSM,647,10,7200,9825,0,45.2131,-12.808,9809,141,1,1485162631,1726514155,0
GSM,647,10,7200,19825,0,45.2109,-12.8011,1764,113,1,1485168565,1703877484,0
GSM,647,10,7200,9845,0,45.2106,-12.7998,6810,107,1,1485421263,1703877493,0
GSM,647,10,7200,9831,0,45.1943,-12.7314,545,111,1,1487060797,1705432758,0
GSM,647,10,7200,29863,0,45.1754,-12.7284,1161,109,1,1487737592,1711933872,0
GSM,647,10,7200,9856,0,45.2048,-12.8139,6058,21,1,1488778474,1733858006,0
GSM,647,10,7200,9829,0,45.1339,-12.7263,3766,112,1,1492453800,1711567894,0
GSM,647,10,7200,9810,-1,45.1864,-12.8383,9636,105,1,1505347131,1704396828,0
GSM,647,10,7200,29810,-1,45.1772,-12.839,1527,108,1,1505347131,1704396419,0
GSM,647,10,7200,19810,-1,45.2707,-12.8698,5115,42,1,1505354927,1733944437,0
GSM,647,10,7200,19865,-1,45.208,-12.9662,4153,25,1,1505362049,1730488366,0
GSM,647,10,7200,19829,-1,45.1195,-12.722,905,108,1,1505434600,1710141184,0
GSM,647,10,7200,29865,-1,45.1935,-12.911,5395,118,1,1505697768,1703877503,0
GSM,647,10,7200,9865,-1,45.2392,-12.8933,5524,22,1,1505697768,1733944435,0
GSM,647,10,7200,9850,-1,45.2162,-12.9089,8553,29,1,1505697768,1731784370,0
GSM,647,10,7200,9834,-1,45.2428,-12.8583,5143,21,1,1505784198,1733944430,0
GSM,647,10,7200,19850,-1,45.2229,-12.8847,2840,28,1,1505796728,1733858016,0
GSM,647,10,7200,19834,-1,45.271,-12.8737,4072,49,1,1505867866,1733944437,0
GSM,647,10,7200,9813,-1,45.2571,-12.9239,6286,35,1,1506388350,1733685218,0
GSM,647,10,7200,29813,-1,45.1475,-12.9288,9332,105,1,1506388350,1692011824,0
GSM,647,10,7200,19813,-1,45.2409,-12.9619,8014,27,1,1506478285,1733685212,0
GSM,647,10,7200,19805,-1,45.0731,-12.9696,10238,50,1,1506565558,1727029017,0
GSM,647,10,7200,29805,-1,44.9824,-12.9714,8454,38,1,1506565558,1731827468,0
GSM,647,10,7200,29822,-1,44.9756,-12.9632,1587,41,1,1507081308,1731827468,0
GSM,647,10,7200,9832,-1,45.0955,-12.9296,13072,106,1,1507606280,1726514162,0
GSM,647,10,7200,19804,-1,45.044,-12.9999,10173,30,1,1507867598,1731827467,0
GSM,647,10,7200,9804,-1,45.098,-12.8749,17904,50,1,1507867598,1727547217,0
GSM,647,10,7200,29804,-1,44.9648,-12.9024,3691,3,1,1508208754,1731870834,0
GSM,647,10,7200,29843,-1,45.131,-12.8945,5079,110,1,1508291996,1688551207,0
GSM,647,10,7200,19843,-1,45.1345,-12.9246,5081,102,1,1508292028,1706148679,0
GSM,647,10,7200,19809,-1,44.9786,-12.9688,2123,21,1,1508814874,1731265999,0
GSM,647,10,7200,9809,-1,45.1099,-12.8402,10092,116,1,1508902430,1688978748,0
GSM,647,10,7200,19839,-1,45.1118,-12.844,1524,106,1,1508984192,1689145980,0
GSM,647,10,7200,9839,-1,45.0894,-12.8021,6955,28,1,1508984668,1733857986,0
GSM,647,10,7200,29809,-1,44.986,-12.7692,9543,22,1,1508985368,1732648389,0
GSM,647,10,7200,29839,-1,45.099,-12.8505,796,110,1,1508985992,1688540680,0
GSM,647,10,7200,9854,-1,45.138,-12.8485,1097,108,1,1509588424,1688982800,0
GSM,647,10,7200,29854,-1,45.1365,-12.8467,2704,121,1,1509590897,1688981597,0
GSM,647,10,7200,9848,-1,45.1364,-12.83,526,128,1,1510189952,1689249334,0
GSM,647,10,7200,29848,-1,45.1192,-12.8421,1565,118,1,1510190910,1688983054,0
GSM,647,10,7200,19858,-1,44.9794,-12.9715,2162,22,1,1510283646,1731265987,0
GSM,647,10,7200,9858,-1,45.1328,-12.8286,4774,114,1,1510286972,1689235571,0
GSM,647,10,7200,9827,-1,45.135,-12.8266,4795,121,1,1510627340,1692505493,0
GSM,647,10,7200,29827,-1,44.9706,-12.9275,4166,106,1,1510629694,1725905762,0
GSM,647,10,7200,19827,-1,45.1312,-12.8365,3022,104,1,1510705901,1689238730,0
GSM,647,10,7200,29858,-1,44.9816,-12.7878,8850,21,1,1510794542,1734030872,0
GSM,647,10,7200,19844,-1,45.1101,-12.7901,2448,110,1,1510891884,1697998640,0
GSM,647,10,7200,9844,-1,45.0979,-12.7671,4973,109,1,1511143120,1722885340,0
GSM,647,10,7200,9826,-1,45.0979,-12.764,6711,119,1,1511319153,1717870440,0
GSM,647,10,7200,19826,-1,45.0513,-12.7895,9801,26,1,1511319153,1734030872,0
GSM,647,10,7200,29826,-1,45.0543,-12.7558,1056,34,1,1511324896,1734117162,0
GSM,647,10,7200,19818,-1,44.9748,-12.6899,7033,25,1,1511833067,1734030809,0
GSM,647,10,7200,9818,-1,45.0651,-12.6496,10423,21,1,1511844035,1729361571,0
GSM,647,10,7200,19817,-1,45.1247,-12.6296,5504,26,1,1511920662,1733339636,0
GSM,647,10,7200,19860,-1,45.1357,-12.7204,3477,118,1,1512447499,1710876828,0
GSM,647,10,7200,9817,-1,45.1337,-12.6533,849,46,1,1512452030,1733339638,0
GSM,647,10,7200,9860,-1,45.1382,-12.6532,6258,26,1,1512453401,1733339638,0
GSM,647,10,7200,29860,-1,45.1224,-12.7048,5298,115,1,1512453401,1692031283,0
GSM,647,10,7200,19851,-1,45.1372,-12.7308,3955,123,1,1512613635,1711135208,0
GSM,647,10,7200,9851,-1,45.1442,-12.7388,1922,111,1,1512613635,1688565810,0
GSM,647,10,7200,9833,-1,45.1624,-12.7338,1164,111,1,1513049913,1711654591,0
GSM,647,10,7200,19801,-1,45.1403,-12.8332,831,104,1,1516250869,1689249573,0
GSM,647,10,7200,29801,-1,45.1319,-12.788,1414,116,1,1516666021,1692514038,0
GSM,647,10,7200,9801,-1,45.1859,-12.7907,5490,102,1,1516666739,1689238176,0
GSM,647,10,7200,19803,-1,45.0018,-12.759,5859,25,1,1516672997,1734030871,0
GSM,647,10,7200,9803,-1,45.0986,-12.6253,9394,26,1,1516673699,1734030827,0
GSM,647,10,7200,29803,-1,45.0147,-12.7315,5772,31,1,1516675288,1734030809,0
GSM,647,10,7200,9866,-1,45.2263,-12.7682,1694,105,1,1519788687,1725300910,0
GSM,647,10,7200,19866,-1,45.2255,-12.7757,500,121,1,1521512186,1725473831,0
GSM,647,10,7200,29866,-1,45.2229,-12.7743,1785,123,1,1522807083,1725473831,0
GSM,647,10,7200,9871,-1,45.1346,-12.7886,892,102,1,1618289189,1703705049,0
GSM,647,10,7200,29871,-1,45.1293,-12.7882,16027,124,1,1618289189,1704396406,0
GSM,647,10,7200,19867,-1,45.2551,-12.7763,3480,26,1,1619056302,1734210723,0
GSM,647,10,7200,9867,-1,45.2605,-12.7847,1218,22,1,1619056870,1734210721,0
GSM,647,10,7200,19871,-1,45.1293,-12.7919,749,135,1,1619576762,1692502070,0
GSM,647,10,7200,19107,-1,45.2385,-12.7844,3166,22,1,1645144725,1734333065,0
GSM,647,10,7200,29107,-1,45.2246,-12.7733,1585,104,1,1645144653,1717525048,0
GSM,647,10,7200,9107,-1,45.2342,-12.7766,3025,23,1,1645145793,1734333065,0
GSM,647,10,7200,29875,-1,45.1717,-12.788,1000,55,1,1667868560,1697998624,0
GSM,647,10,7200,19875,-1,45.1859,-12.793,8340,12,1,1667868560,1690112827,0
GSM,647,10,7200,9875,-1,45.234,-12.8211,8208,21,1,1668057987,1733944422,0
GSM,647,10,7200,29876,-1,45.1327,-12.8315,17193,19,1,1668662915,1729361614,0
GSM,647,10,7200,9876,-1,45.281,-12.8788,500,50,1,1669075228,1733944433,0
GSM,647,10,7200,19876,-1,45.1624,-12.8401,3109,70,1,1669075228,1688744159,0
GSM,647,10,7200,19877,-1,45.0703,-12.7936,10461,21,1,1685358060,1733857985,0
GSM,647,10,7200,19880,-1,45.1999,-12.7352,1290,85,1,1694528532,1710876837,0
GSM,647,10,7200,9880,-1,45.2057,-12.7363,500,125,1,1694529335,1711739976,0
GSM,647,10,7200,19884,-1,44.9737,-12.9341,15147,21,1,1702969207,1729361593,0
GSM,647,10,7200,29874,-1,45.1386,-12.9383,1000,1,1,1703923092,1703923092,0
GSM,647,10,7200,9884,-1,45.1419,-12.6526,8460,34,1,1706874175,1733339615,0
