startIP,endIP,city,longitude,latitude
5.102.72.0,5.102.72.255,Mamoudzou,45.22722,-12.77944
41.242.116.0,41.242.119.255,Mamoudzou,45.22722,-12.77944
92.142.128.0,92.142.138.255,Mamoudzou,45.22722,-12.77944
92.142.140.0,92.142.141.255,Mamoudzou,45.22722,-12.77944
92.142.143.0,92.142.152.255,Mamoudzou,45.22722,-12.77944
92.142.153.0,92.142.153.255,Bandrele,45.19139,-12.90667
92.142.154.0,92.142.155.255,Mamoudzou,45.22722,-12.77944
92.142.156.0,92.142.156.255,Bandrele,45.19139,-12.90667
92.142.157.0,92.142.157.255,Mamoudzou,45.22722,-12.77944
92.142.159.0,92.142.160.255,Mamoudzou,45.22722,-12.77944
92.142.161.0,92.142.162.255,Pamandzi,45.28255,-12.79489
92.142.163.0,92.142.163.255,Kani Keli,45.10333,-12.95361
92.142.164.0,92.142.168.255,Mamoudzou,45.22722,-12.77944
92.142.170.0,92.142.171.255,Mamoudzou,45.22722,-12.77944
92.142.172.0,92.142.172.255,Bandraboua,45.12056,-12.70167
92.142.173.0,92.142.178.255,Mamoudzou,45.22722,-12.77944
92.142.180.0,92.142.182.255,Mamoudzou,45.22722,-12.77944
92.142.184.0,92.142.189.255,Mamoudzou,45.22722,-12.77944
92.142.190.0,92.142.190.255,Tsingoni,45.10278,-12.78722
92.142.191.0,92.142.212.255,Mamoudzou,45.22722,-12.77944
92.142.213.0,92.142.214.255,Pamandzi,45.28255,-12.79489
92.142.216.0,92.142.218.255,Mamoudzou,45.22722,-12.77944
92.142.219.0,92.142.219.255,Pamandzi,45.28255,-12.79489
92.142.220.0,92.142.223.255,Mamoudzou,45.22722,-12.77944
94.124.154.0,94.124.154.255,Mamoudzou,45.22722,-12.77944
94.124.159.0,94.124.159.255,Mamoudzou,45.22722,-12.77944
98.97.181.0,98.97.181.255,Mamoudzou,45.22722,-12.77944
102.135.226.0,102.135.227.255,Mamoudzou,45.22722,-12.77944
102.135.229.0,102.135.229.255,Mamoudzou,45.22722,-12.77944
135.129.121.0,135.129.121.255,Mamoudzou,45.22722,-12.77944
164.160.70.0,164.160.71.255,Mamoudzou,45.22722,-12.77944
172.225.221.0,172.225.221.255,Mamoudzou,45.22722,-12.77944
193.248.116.0,193.248.119.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944
0.0.0.0,255.255.255.255,Mamoudzou,45.22722,-12.77944